ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS,CIDADE,ESTADO
149484339,emergência oftalmológica inexistente,recife - pe,2022-01-09,mau atendimento<->planos de saúde<->rede de atendimento<->hapvida saúde,nao respondida,fiz uma consulta no aplicativo da hapvida no dia e me foi informado o local para onde eu deveria me dirigir para casos de emergência oftalmológica porém não é informado que a emergência oftalmológica só funciona até as hr primeira falha o paciente sai da sua casa com destino a emergência após esse horário e só fica sabendo dessa limitação do horário ao chegar no local segunda falha e ser informado pelo vigilante que orienta o paciente a ir ao pa da caxangá onde será atendido que fica em outro bairro da cidadeo cliente se dirige ao pa citado e chegando lá e informado que será atendido por um clínico e caso seja necessário é solicitado a presença de um oftalmologista que fica de sobre aviso terceira falhafoi o que aconteceu comigo no domingo dia por volta meia noite fiz toda essa peregrinação gastando mais de r de uber para ser atendido por uma pediatra tenho anos que me atendeu muito bem mas por não ser sua especialidade foi obrigada a ligar para uma oftalmologista e prescrever uma medicação por telefone sem nenhum tipo de exame quarta falha ou seja emergência oftalmológica para a hapvida tem horário se não for das hr às hr não é emergência agora eu pergunto o paciente tem que adivinhar o horário que vai passar por uma emergênciao cliente hapvida paga caro pra não ter um atendimento descente e dignosei que nada vai mudar mas para registrar meu descontentamento junto a ans tenho que primeiro registrar minha reclamação na ouvidoria do plano o que foi feito porém sem respostaa tela anexada a essa reclamação foi printada do aplicativo do hapvida que diz para onde o paciente deve se dirigir em caso de emergência porém não informa horário,https://www.reclameaqui.com.br//hapvida-saude/emergencia-oftalmologica-inexistente_w_Gv28WPYLtkhheI/,2022,1,9,9,1,6,1,66,RECIFE,PE
149484029,reembolso de procedimento.,são luís - ma,2022-01-09,plano<->planos de saúde<->hapvida saúde<->reembolso de consulta-exame,nao respondida,dia solicitei via email reembolsomanaushapvidacombr reembolso de procedimento de colonoscopia e de biopsia aguardei o prazo de dias regras internas da hapvida porém passaram dias e não obtive retorno algumentrei em contato com o sac via chat no site da hapvida e me informaram que faltou eu enviar um documento atestado de comparecimento e que teria que fazer uma nova solicitação e aguardar mais diasdia fiz uma nova solicitação de reembolso via email para o endereço reembolsomanaushapvidacombr dia recebi um email do senhor joao paulo de almeida joaopauloalmeidahapvidacombr informando o protocolo do processo de reembolso solicitando documentos adicionais para dar continuidade a demanda enviei a documentação na mesma datadia recebi outro email de reembolsomanaushapvidacombr solicitando a mesma documentação que o senhor joao paulo de almeida havia solicitado no dia enviei novamente a documentação solicitada no prazo informadoenviei vários email para o senhor senhor joao paulo de almeida e para reembolsomanaushapvidacombr solicitando em qual situação estava meu reembolso porém não obtive retornoentrei várias vezes em contato com sac hapvida via chat solicitando informações quanto ao meu reembolso um desses protocolos é porém sou informado que não estão encontrando meu processo de reembolsosolicito um providências e retorno quanto ao meu reembolsocaso contrário estarei recorrendo a medidas judiciais,https://www.reclameaqui.com.br//hapvida-saude/reembolso-de-procedimento_eptwR6KB0YO5SfuJ/,2022,1,9,9,1,6,1,66,SÃO LUÍS,MA
149482479,péssimo atendimento,anápolis - go,2022-01-09,hapvida saúde<->planos de saúde<->rede de atendimento<->dificuldade para agendamento de exames-consultas,nao respondida,o aplicativo vive fora do ar telefone quase nunca cai no atendente não tem opção de medido existem médicos na plataforma do aplicativo mas nunca estão disponíveis para consulta existe um programa de teleconsulta extremamente demorada que já durou até horas de espera com médicos que nem ligam a câmera e não resolvem nada,https://www.reclameaqui.com.br//hapvida-saude/pessimo-atendimento_ZzB1V4uKEcWMQtxu/,2022,1,9,9,1,6,1,66,ANÁPOLIS,GO
149480993,cirurgia reparadora pós bariátrica negada,belém - pa,2022-01-09,plano<->planos de saúde<->qualidade do serviço prestado<->hapvida saúde,nao respondida,fiz a cirurgia bariátrica e já tive a estabilização de peso o cirurgião plástico solicitou a cirurgia de mastopexia para reparação de seios que estão com excesso de flacidez decorrente da perda de peso causada pela bariátrica como o plano de saúde nega alegando que não está previsto no rol da ans entretanto a mastopexia não é considerada somente estética mas também é considerada reparadora sendo indicada para aqueles pacientes que necessitam de uma intervenção cirúrgica para a saúde tanto psicológica como física pois como citamos acima o excesso de pele pode ocasionar numa infecção cutânea ao pacienteo plano de saúde deve cobrir todas as cirurgias que sejam necessárias para reparação após a cirurgia bariátrica então caso a minha cirurgia não seja autorizada pelo plano irei entrar com a solicitação judicialmente inclusive alegando os danos que me forem causados pelo tempo aguardando a cirurgia levando em consideração que minha saúde mental também está abalada por conta do excesso de pele que eu tenho,https://www.reclameaqui.com.br//hapvida-saude/cirurgia-reparadora-pos-bariatrica-negada_r50TG74Hn3tq6-lA/,2022,1,9,9,1,6,1,66,BELÉM,PA
149480441,hapvida não resolve nem dá respostas,recife - pe,2022-01-09,planos de saúde<->qualidade do serviço prestado<->não encontrei meu problema<->hapvida saúde,respondida,um excelente plano de saude sem duvida mas existe pessoas dentro da empresa que não cumpre o seu papel ou seja preciso de dentista desde o ano passado p efetuar endodontia com microscópio e o pessoal responsavel não ajuda não responde as reclamações feitas no site e através do sac não orientam enfim pareceme não querer compromisso em ajudar um idoso meu caso que está tomando analgésicos quase diariamente por força de irresponsáveis que querem ferrar o cliente e a imagem da empresa que digase de passagem uma excelente empresa que não tem culpa ou tem através de se gestor de maus funcionáriosqdo deixamos de pagar ou atrasar a mensalidade nunca aconteceu comigo aí eles ligam procuram formam um verdadeiro batalhão aptos a trazer de volta o clientelamentável este desprezo p o associado gostaria muiiiito que o ceo pudesse ler estas linhas e tomásse as devidas e necessarias providenciasme resta ter esperanças por este maravilhoso canal reclame aqui,https://www.reclameaqui.com.br//hapvida-saude/hapvida-nao-resolve-nem-da-respostas_TK_h6w_V5iXYeha7/,2022,1,9,9,1,6,1,66,RECIFE,PE
149485711,negligência e falta de preparo dos médicos,salvador - ba,2022-01-09,problemas com o atendimento<->qualidade do serviço prestado<->equipe de atendimento<->hapvida saúde,nao respondida,dentre as diversas queixas que eu tenho referente ao plano gostaria de manifestar nesse momento minha grande indignação com o atendimento de emergência da unidade tereza de lisieux fui atendida na emergência e o descaso foi gigantesco os médicos não fazem um bom mapeamento clínico não pedem exames e nem dão diagnóstico apenas administram medicação sem deixar o paciente a ter ciência do que está acontecendo a médica disse que meu quadro pode ser covid com sintomas leves pode ser sinusite pode ser gripe mas não diagnosticou nem passou exames minha mãe vai fazer uma cirurgia daqui alguns dias e em caso de alguma infecção viral eu preciso estar ciente por que existe a probabilidade da mesma estar infectada também reengressei ao consultório médico foi passado um exame o qual eu tenho mais de uma hora esperando pago o plano pontualmente todos os meses para não ter atendimento de qualidade quando necessito e eu raramente procuro a emergência isso é revoltante deixo aqui meu sincero desapontamento e descontentamento com o serviço do plano como um todo não recomendo pra ninguém e inclusive já estou tomando minhas medidas para que eu mesma não precise continuar pagando por um serviço que não me atende bem,https://www.reclameaqui.com.br//hapvida-saude/negligencia-e-falta-de-preparo-dos-medicos_ldzCXt0gXnsAHbQW/,2022,1,9,9,1,6,1,66,SALVADOR,BA
149479281,porcaria de atendimento,são josé dos campos - sp,2022-01-09,qualidade do serviço prestado<->não encontrei meu problema<->administrativo<->hapvida saúde,nao respondida,sou conveniado a mais de anos aqui em são josé dos campos após a compra pela hapvida é só dor de cabeça daqui a pouco vou enfartar de tanto problema e a despesa de vcs será muito maior não recebo os boleto mensalmente e quando tento pegar pela site que faz juz ao convênio é uma porcaria muitas opções não funcionam o chat não tem ninguém só robô e sem as opções possíveis somente as de interesse do convênio e depois querem cobrar multa e juros por erros de vcs consultas preciso esperar sempre mais de meses aqui na minha cidade o sus é mais rápido e muitas vezes agendo neles e aproveito para falar mal desta empresa estive vendo o prejuízo e a queda dos valores na bolsa com as ações deveriam fechar por vergonha o número do whatsap ninguém responde querem passar uma imagem de eficiência e modernidade mas passam uma de ineficiência e porcaria isso sim,https://www.reclameaqui.com.br//hapvida-saude/porcaria-de-atendimento_q3se-10VYXmG3X0G/,2022,1,9,9,1,6,1,66,SÃO JOSÉ DOS CAMPOS,SP
149500489,descaso com o usuário,caruaru - pe,2022-01-09,mau atendimento<->planos de saúde<->administrativo<->hapvida saúde,nao respondida,morava em recife mas em mudeime para caruarupe a maior cidade do interior do estado de pernambuco e a quarta maior do estado com quase mil habitantes e não há atendimento hapvida inúmeras vezes tentei resolver este impasse em vão até um ofício enviei ao sr conrado koren e nada descaso e falta de respeito é o que obtenho como resposta desde pago o plano com sacrifício mas sou apenas um númeromeu desespero é tanto que cheguei até aqui neste site na esperança de obter uma solução,https://www.reclameaqui.com.br//hapvida-saude/descaso-com-o-usuario_uCc-nxvklZM4aDGX/,2022,1,9,9,1,6,1,66,CARUARU,PE
149501559,fiz pagamento mais tao alegando não paguei perdi minha consulta ppr causa deles,maceió - al,2022-01-09,reembolso de pagamento<->plano<->planos de saúde<->hapvida saúde,respondida,hapvida ta mim cobrando um valor ja foi pago em julho tenho comprovante em mão mais eles tão alegando não foi pago perdi minha consulta por causa do hapvida,https://www.reclameaqui.com.br//hapvida-saude/fiz-pagamento-mais-tao-alegando-nao-paguei-perdi-minha-consulta-ppr-causa-d_MauQ-D7eX-74O42H/,2022,1,9,9,1,6,1,66,MACEIÓ,AL
149516741,negligência na emergência luiz de frança,fortaleza - ce,2022-01-09,planos de saúde<->qualidade do serviço prestado<->não encontrei meu problema<->hapvida saúde,nao respondida,vim com meu filho doente tinha vomitado desmaiado e estava mole querendo dormir direto e simplesmente demorou horas para começar a tomar a medicação médica passou uma tc e faltou descrever alguma coisa técnica qua do fui apresentar o papel voltei para a médica e ela já tinha saído e ninguém simplesmente ninguém poderia reescrever a quia do médico muitas crianças pouco funcionários me arrependir chorei de raiva estava preucupa com meu filho e ele era negligenciado,https://www.reclameaqui.com.br//hapvida-saude/negligencia-na-emergencia-luiz-de-franca__ueqYz9yh6QMYpM8/,2022,1,9,9,1,6,1,66,FORTALEZA,CE
149516203,falta de atendimento ao cliente,natal - rn,2022-01-09,plano<->planos de saúde<->hapvida saúde<->dificuldade para agendamento de exames-consultas,respondida,quero marcar uma consulta com dr andresa karla para dia e no sistema não tem agenda liga não tem agenda falta de respeitoquero retorno com urgência,https://www.reclameaqui.com.br//hapvida-saude/falta-de-atendimento-ao-cliente_aqRJUMdOG6bggEp2/,2022,1,9,9,1,6,1,66,NATAL,RN
149514407,rede credenciada inexistente ii,fortaleza - ce,2022-01-09,"demora para autorização de consultas, exames e cirurgias<->planos de saúde<->rede de atendimento<->hapvida saúde",respondida,sofro com dor na coluna desde com muita reclamação consegui um ortopedista na rede credenciada após inúmeras idas na emergência onde passavam remédio pra dor e me mandavam buscar consulta eletivaapós exames e retorno o prognóstico é q a dor não irá passar só possível controlála para isso se faz necessário acupuntura fisioterapia motora e cirurgião de coluna neurocirurgião a saga para conseguir tudo isso começa aqui sac ouvidoria pq o plano como sempre não tem uma rede credenciada pq não paga o mínimo q os profissionais pedem e ainda inibem sua atuação exigindo que passem menos exames assim dizem todos eleshoje na rede credenciada segundo o manual online q eles próprios divulgam temzero neurocirurgiãozero acupunturistazero fisioterapeuta motormas a minha dor permanece fiel diferente do plano,https://www.reclameaqui.com.br//hapvida-saude/rede-credenciada-inexistente-ii_dWSH5GkrGv07OGa5/,2022,1,9,9,1,6,1,66,FORTALEZA,CE
149512895,descaso com o paciente,aquiraz - ce,2022-01-09,exames lab e imagens<->hapvida saúde<->exames lab. e imagem<->dificuldade para agendamento de exames-consultas,nao respondida,minha esposa é dependente do meu plano de saúde no hapiva categoria pleno em uma consulta de rotina o médico que a acompanha desde que ela fez uma cirurgia de tireoide identificou dois novos nódulos e solicitou através da guia de exame a punção guiada por ultrassom dos nódulos a primeira grande burocracia começou para conseguir autorizar o exame inicialmente ela tentou a liberação pelo aplicativo conforme orientação porém como não obteve sucesso foi necessário entrar em contato com a ouvidoria foram diversas ligações sem sucesso em algumas vezes as chamadas caiam depois de um longo tempo de espera seguem alguns dos protocolos infelizmente nem todos foram anotados finalmente após conseguir autorizar ela foi realizar os exames após finalizar a coleta foi informada que o material coletado deveria ser entregue no laboratório parceiro clementino fraga ao chegar no laboratório ás eles se recusaram a receber as amostras pois disseram que não recebiam aquele tipo de exame vindo do hapvida foi necessário ligar novamente pro hapvida para verificar a autorização protocolo a atendente afirmou novamente que os exames estavam autorizados para o clementino fraga após essa informação ela ligou para a central do clementino fraga onde a atendente afirmou que os exames eram aceitos no laboratório e após conversar com a atendente que estava de plantão fisicamente a mesma afirmou novamente que não era autorizado o procedimento junto ao hapvida pois o sistema não liberava como não houve consenso entre o hapvida e o clementino fraga ela teve que pagar o exame do próprio bolsoalém da questão financeira o tempo perdido e o desgaste gerado foi bastante constrangedor para a paciente que mesmo após realizar uma punção teve que levar pessoalmente a amostra até o laboratório e por fim não conseguir ser atendida com o recurso do plano a central do hapvida sempre tem um atendimento muito ruim e bastante burocrático não é a primeira vez que é repassada uma informação errada além disso não há sincronismo entre o hapvida e seus parceiros,https://www.reclameaqui.com.br//hapvida-saude/descaso-com-o-paciente_a-a4NlgtCGtZ_eV4/,2022,1,9,9,1,6,1,66,AQUIRAZ,CE
149511649,fono terapia,salvador - ba,2022-01-09,planos de saúde<->planos de saúde<->hapvida saúde<->dificuldade para agendamento de exames-consultas,resolvido,a minha reclamação hoje infelizmente é sobre a fono terapiaque estão sendo muito espaçadas o tempomeu filho necessita de sessões e agora eu só consegui pra final de outubrotive que colocar ele na escolinhapra poder ajudar na falamais ele precisa das sessõese com o espaçamento entre as consultas fica muito difícilmim colocaram como extra pro dia porém não posso ir como extra maispq eu lutei pra ele ganhar uma bolsa nessa escolinhae ele não pode ficar faltando as aulase extra tem que ir de manhã e só sair meio diadepois que atender todos peço que por gentileza tentem mim dar uma soluçãosei que a demanda está grandea pandemia atrapalhou muito as criançasmais pagamos plano e estamos nessa lutaque não é só minha e sim de várias mães aguardo retorno obrigado,https://www.reclameaqui.com.br//hapvida-saude/fono-terapia_OevIyoaC9W16T30Q/,2022,1,9,9,1,6,1,66,SALVADOR,BA
149511463,marcar fisioterapia,jaboatão dos guararapes - pe,2022-01-09,planos de saúde<->planos de saúde<->hapvida saúde<->dificuldade para agendamento de exames-consultas,resolvido,desde manhã tentando realizar um agendamento de fisioterapia no qual eu não consigo manda ficar aguardando em um chat que você nunca é atendido e quando ligo para o número direciona para o app como se resolvesse alguma coisaeu não estou de graça no plano não tenho meus direitos de ter atendimento quando precisoplano péssimo tá pior que o sus só tenho raiva,https://www.reclameaqui.com.br//hapvida-saude/marcar-fisioterapia_RMC-JCu_KAkpD0kF/,2022,1,9,9,1,6,1,66,JABOATÃO DOS GUARARAPES,PE
